DateTime,Date,Time,Day,Hour,Time_Of_Day,DateID
4/11/2025 21:00,4/11/2025,9:00:00 PM,Friday,21,Night,20240502
4/11/2025 21:00,4/11/2025,9:00:00 PM,Friday,21,Night,20240503
4/12/2025 21:00,4/12/2025,9:00:00 PM,Saturday,21,Night,20240504
4/12/2025 21:00,4/12/2025,9:00:00 PM,Saturday,21,Night,20240505
4/13/2025 21:00,4/13/2025,9:00:00 PM,Sunday,21,Night,20240506
4/13/2025 21:00,4/13/2025,9:00:00 PM,Sunday,21,Night,20240507
4/14/2025 21:00,4/14/2025,9:00:00 PM,Monday,21,Night,20240508
4/14/2025 21:00,4/14/2025,9:00:00 PM,Monday,21,Night,20240509
4/15/2025 21:00,4/15/2025,9:00:00 PM,Tuesday,21,Night,20240510
4/16/2025 6:00,4/16/2025,6:00:00 AM,Wednesday,6,Morning,20240511
4/16/2025 9:00,4/16/2025,9:00:00 AM,Wednesday,9,Morning,20240512
4/16/2025 12:00,4/16/2025,12:00:00 PM,Wednesday,12,Afternoon,20240513
4/16/2025 15:00,4/16/2025,3:00:00 PM,Wednesday,15,Afternoon,20240514
4/16/2025 18:00,4/16/2025,6:00:00 PM,Wednesday,18,Evening,20240515
4/16/2025 21:00,4/16/2025,9:00:00 PM,Wednesday,21,Night,20240516
4/17/2025 0:00,4/17/2025,12:00:00 AM,Thursday,0,Night,20240517
4/17/2025 3:00,4/17/2025,3:00:00 AM,Thursday,3,Night,20240518
4/17/2025 6:00,4/17/2025,6:00:00 AM,Thursday,6,Morning,20240519
4/17/2025 9:00,4/17/2025,9:00:00 AM,Thursday,9,Morning,20240520
4/17/2025 12:00,4/17/2025,12:00:00 PM,Thursday,12,Afternoon,20240521
4/17/2025 15:00,4/17/2025,3:00:00 PM,Thursday,15,Afternoon,20240522
4/17/2025 18:00,4/17/2025,6:00:00 PM,Thursday,18,Evening,20240523
4/17/2025 21:00,4/17/2025,9:00:00 PM,Thursday,21,Night,20240524
4/18/2025 0:00,4/18/2025,12:00:00 AM,Friday,0,Night,20240525
4/18/2025 3:00,4/18/2025,3:00:00 AM,Friday,3,Night,20240526
4/18/2025 6:00,4/18/2025,6:00:00 AM,Friday,6,Morning,20240527
4/18/2025 9:00,4/18/2025,9:00:00 AM,Friday,9,Morning,20240528
4/18/2025 12:00,4/18/2025,12:00:00 PM,Friday,12,Afternoon,20240529
4/18/2025 15:00,4/18/2025,3:00:00 PM,Friday,15,Afternoon,20240530
4/18/2025 18:00,4/18/2025,6:00:00 PM,Friday,18,Evening,20240531
4/18/2025 21:00,4/18/2025,9:00:00 PM,Friday,21,Night,20240532
