DateTime,LocationID,Rain_3h,Snow_3h,Temp_Category_ID
4/26/2025 0:00,572,0,0,1
4/26/2025 3:00,573,0,0,1
4/26/2025 6:00,574,0,0,2
4/26/2025 9:00,575,0,0,2
4/26/2025 12:00,576,0.14,0,2
4/26/2025 15:00,577,0,0,1
4/26/2025 18:00,578,0,0,1
4/26/2025 21:00,579,0,0,1
4/27/2025 0:00,580,0,0,1
4/27/2025 3:00,581,0,0,1
4/27/2025 6:00,582,0,0,2
4/27/2025 9:00,583,0,0,2
4/27/2025 12:00,584,0,0,2
4/27/2025 15:00,585,0,0,1
4/27/2025 18:00,586,0,0,1
4/27/2025 21:00,587,0,0,1
4/28/2025 3:00,588,0,0,1
4/28/2025 0:00,589,0,0,1
4/30/2025 21:00,590,0,0,1
5/1/2025 0:00,591,0,0,1
5/1/2025 15:00,592,0,0,1
5/1/2025 3:00,593,0,0,1
5/1/2025 6:00,594,0,0,2
5/1/2025 9:00,595,0,0,2
5/1/2025 12:00,596,5.91,0,1
4/28/2025 6:00,597,0,0,2
4/28/2025 9:00,598,0,0,2
4/28/2025 12:00,599,0.2,0,2
4/28/2025 15:00,600,0,0,1
4/28/2025 18:00,601,0,0,1
4/28/2025 21:00,602,0,0,1
4/29/2025 0:00,603,0.12,0,1
4/29/2025 3:00,604,0,0,1
4/29/2025 6:00,605,0,0,2
4/29/2025 9:00,606,0,0,2
4/29/2025 12:00,607,7.14,0,1
4/29/2025 15:00,608,3.55,0,1
4/29/2025 18:00,609,0.78,0,1
4/29/2025 21:00,610,0,0,1
4/30/2025 0:00,611,0,0,1
4/30/2025 3:00,612,0,0,1
4/30/2025 6:00,613,0,0,1
4/30/2025 9:00,614,0,0,2
4/30/2025 12:00,615,0,0,2
4/30/2025 15:00,616,0,0,1
4/30/2025 18:00,617,0,0,1
5/2/2025 6:00,618,0,0,2
5/1/2025 18:00,619,0.11,0,1
5/1/2025 21:00,620,0,0,1
5/2/2025 0:00,621,0,0,1
5/2/2025 3:00,622,0,0,1
5/2/2025 9:00,623,0,0,2
