DateTime,LocationID,Wind_Speed,Wind_Direction,Wind_Direction_id
4/22/2025 6:00,553,4.34,234,1343
4/22/2025 9:00,554,2.69,234,1344
4/22/2025 12:00,555,3.66,26,1345
4/22/2025 15:00,556,6.02,274,1346
4/22/2025 18:00,557,4.17,237,1347
4/22/2025 21:00,558,4.06,228,1348
4/23/2025 0:00,559,3.15,239,1349
4/23/2025 3:00,560,2.93,245,1350
4/23/2025 6:00,561,3.53,240,1351
4/23/2025 9:00,562,5.07,232,1352
4/23/2025 12:00,563,7.02,235,1353
4/24/2025 6:00,564,3.61,234,1354
4/24/2025 9:00,565,4.9,231,1355
4/24/2025 12:00,566,6.99,245,1356
4/25/2025 9:00,567,3.31,233,1357
4/25/2025 12:00,568,7.43,234,1358
4/25/2025 15:00,569,6.68,248,1359
4/25/2025 18:00,570,5.42,242,1360
4/25/2025 21:00,571,4.56,237,1361
4/26/2025 0:00,572,3.59,245,1362
4/26/2025 3:00,573,3.86,241,1363
4/26/2025 6:00,574,3.01,230,1364
4/26/2025 9:00,575,2.52,166,1365
4/26/2025 12:00,576,7.24,223,1366
4/26/2025 15:00,577,6.16,238,1367
4/26/2025 18:00,578,4.97,243,1368
4/26/2025 21:00,579,3.98,239,1369
4/27/2025 0:00,580,3.06,246,1370
4/27/2025 3:00,581,3.16,240,1371
4/27/2025 6:00,582,2.78,222,1372
4/27/2025 9:00,583,2.99,183,1373
4/27/2025 12:00,584,6.68,218,1374
4/27/2025 15:00,585,5.52,243,1375
4/27/2025 18:00,586,4.75,237,1376
4/27/2025 21:00,587,3.39,242,1377
4/28/2025 3:00,588,2.87,235,1378
4/28/2025 0:00,589,2.9,239,1379
4/30/2025 21:00,590,3.8,238,1380
5/1/2025 0:00,591,3.34,240,1381
5/1/2025 15:00,592,1.27,80,1382
5/1/2025 3:00,593,4.32,242,1383
5/1/2025 6:00,594,4.04,230,1384
5/1/2025 9:00,595,5.36,220,1385
5/1/2025 12:00,596,5.83,317,1386
4/28/2025 6:00,597,1.59,187,1387
4/28/2025 9:00,598,2.81,97,1388
4/28/2025 12:00,599,5.07,271,1389
4/28/2025 15:00,600,5.83,252,1390
4/28/2025 18:00,601,4.04,254,1391
4/28/2025 21:00,602,3.39,250,1392
4/29/2025 0:00,603,2.86,246,1393
4/29/2025 3:00,604,2.83,231,1394
4/29/2025 6:00,605,2.46,203,1395
4/29/2025 9:00,606,3.66,166,1396
4/29/2025 12:00,607,2.69,281,1397
4/29/2025 15:00,608,4.7,228,1398
4/29/2025 18:00,609,5.28,236,1399
4/29/2025 21:00,610,2.96,252,1400
4/30/2025 0:00,611,1.84,210,1401
4/30/2025 3:00,612,1.66,216,1402
4/30/2025 6:00,613,3.07,217,1403
4/30/2025 9:00,614,3.65,228,1404
4/30/2025 12:00,615,5.56,228,1405
4/30/2025 15:00,616,5.67,251,1406
4/30/2025 18:00,617,5.01,241,1407
5/2/2025 6:00,618,4.7,233,1408
5/1/2025 18:00,619,4.55,251,1409
5/1/2025 21:00,620,3.92,259,1410
5/2/2025 0:00,621,2.25,238,1411
5/2/2025 3:00,622,2.47,252,1412
5/2/2025 9:00,623,5.4,224,1413
